ts,timestamp,latency_ms,mode,recall_at10,profile,rerank,candidate_k,cache_hit,cache_saved_ms,p95_ms,tokens_in,tokens_out,est_cost,success,group,params_snapshot,rerank_latency_ms,rerank_model,rerank_hit,qdrant_latency_ms,collection_name,should_rerank_v2,trigger_reason,rerank_budget_ok,rerank_timeout,fallback_used,dispersion,rolling_hit_rate,recall_proxy
1760241530842,2025-10-11T20:58:50.842572,388.765811920166,off,0.8372760588190122,,1,50,0,0,388.765811920166,1,133,0.003999999999999999,True,off,,331.514835357666,cross-encoder/ms-marco-MiniLM-L-6-v2,1,56.76102638244629,beir_fiqa_full_ta,True,len|kw,True,False,False,0.06202077,0.2857142857142857,1
1760241530847,2025-10-11T20:58:50.847123,0.0016689300537109375,on,0.85,balanced,0,0,1,45.25184631347656,0.0016689300537109375,2,270,0.008119999999999999,True,on,,0,disabled,0,0,,False,,True,False,False,0.0,0.0,0
1760241530906,2025-10-11T20:58:50.906838,56.37621879577637,off,0.834972061335659,,0,50,0,0,56.37621879577637,3,243,0.00732,True,off,,0,skipped:len|dispersion|budget,0,55.88388442993164,beir_fiqa_full_ta,False,len|dispersion|budget,False,False,False,0.07962484000000003,0.3333333333333333,0
1760241531247,2025-10-11T20:58:51.247570,30.817031860351562,on,0.8797610675323845,,0,50,0,0,30.817031860351562,0,267,0.00801,True,on,,0,skipped:kw|budget,0,30.32088279724121,beir_fiqa_full_ta,False,kw|budget,False,False,False,0.053261400000000014,0.3125,1
1760241531516,2025-10-11T20:58:51.516498,265.45214653015137,off,0.8977263703975411,,1,50,0,0,265.45214653015137,1,132,0.00397,True,off,,242.59400367736816,cross-encoder/ms-marco-MiniLM-L-6-v2,1,22.384166717529297,beir_fiqa_full_ta,True,len|kw|dispersion,True,False,False,0.09998219999999997,0.29411764705882354,1
1760241531771,2025-10-11T20:58:51.771294,47.67894744873047,on,0.868997953148143,,0,50,0,0,47.67894744873047,0,271,0.008129999999999998,True,on,,0,skipped:budget,0,46.6156005859375,beir_fiqa_full_ta,False,budget,False,False,False,0.04137835000000001,0.3333333333333333,1
1760241531813,2025-10-11T20:58:51.813817,36.41510009765625,off,0.7927200005837708,,0,50,0,0,36.41510009765625,1,300,0.00901,True,off,,0,skipped:len|dispersion|budget,0,35.475969314575195,beir_fiqa_full_ta,False,len|dispersion|budget,False,False,False,0.0872021,0.3157894736842105,0
1760241532604,2025-10-11T20:58:52.604015,383.9402198791504,on,0.9135161227584898,,1,50,0,0,383.9402198791504,0,134,0.004019999999999999,True,on,,355.4530143737793,cross-encoder/ms-marco-MiniLM-L-6-v2,1,27.83203125,beir_fiqa_full_ta,True,dispersion,True,False,False,0.07640340000000001,0.3,1
1760241532628,2025-10-11T20:58:52.628613,19.93274688720703,off,0.7876772946388507,,0,50,0,0,19.93274688720703,1,303,0.0091,True,off,,0,skipped:len|budget,0,19.36793327331543,beir_fiqa_full_ta,False,len|budget,False,False,False,0.04297912000000004,0.3333333333333333,0
1760241532719,2025-10-11T20:58:52.719215,0.0030994415283203125,on,0.85,balanced,0,0,1,30.817031860351562,0.0030994415283203125,0,267,0.00801,True,on,,0,disabled,0,0,,False,,True,False,False,0.0,0.0,0
1760241532744,2025-10-11T20:58:52.744755,20.334243774414062,off,0.8051699991234625,,0,50,0,0,20.334243774414062,1,240,0.007209999999999999,True,off,,0,skipped:len|kw|dispersion|budget,0,19.65188980102539,beir_fiqa_full_ta,False,len|kw|dispersion|budget,False,False,False,0.12289583999999992,0.3181818181818182,0
1760241533217,2025-10-11T20:58:53.217589,0.0040531158447265625,on,0.85,balanced,0,0,1,129.94694709777832,0.0040531158447265625,2,252,0.007579999999999999,True,on,,0,disabled,0,0,,False,,True,False,False,0.0,0.0,0
1760241533254,2025-10-11T20:58:53.254146,30.43985366821289,off,0.8226353568231112,,0,50,0,0,30.43985366821289,3,231,0.00696,True,off,,0,skipped:len|kw|dispersion|budget,0,29.33812141418457,beir_fiqa_full_ta,False,len|kw|dispersion|budget,False,False,False,0.08267640999999998,0.30434782608695654,0
1760241534073,2025-10-11T20:58:54.073781,352.25892066955566,on,0.95,,1,50,0,0,352.25892066955566,1,143,0.0043,True,on,,307.5740337371826,cross-encoder/ms-marco-MiniLM-L-6-v2,1,43.1208610534668,beir_fiqa_full_ta,True,len|dispersion,True,False,False,0.08551355999999999,0.2916666666666667,1
1760241534102,2025-10-11T20:58:54.102494,24.084091186523438,off,0.8442044827102415,,0,50,0,0,24.084091186523438,2,241,0.0072499999999999995,True,off,,0,skipped:len|dispersion|budget,0,23.498058319091797,beir_fiqa_full_ta,False,len|dispersion|budget,False,False,False,0.11067120000000003,0.32,0
1760241534220,2025-10-11T20:58:54.220034,0.0030994415283203125,on,0.85,balanced,0,0,1,47.67894744873047,0.0030994415283203125,0,271,0.008129999999999998,True,on,,0,disabled,0,0,,False,,True,False,False,0.0,0.0,0
1760241534247,2025-10-11T20:58:54.247190,22.24111557006836,off,0.8010794020375293,,0,50,0,0,22.24111557006836,1,312,0.00937,True,off,,0,skipped:len|dispersion|budget,0,21.564960479736328,beir_fiqa_full_ta,False,len|dispersion|budget,False,False,False,0.07991505000000004,0.3076923076923077,0
1760241535097,2025-10-11T20:58:55.097633,377.19011306762695,on,0.9328303435411565,,1,50,0,0,377.19011306762695,2,130,0.00392,True,on,,330.82008361816406,cross-encoder/ms-marco-MiniLM-L-6-v2,1,45.458078384399414,beir_fiqa_full_ta,True,len,True,False,False,0.0583553,0.2962962962962963,1
1760241535125,2025-10-11T20:58:55.125240,24.438858032226562,off,0.8187939014818355,,0,50,0,0,24.438858032226562,3,209,0.0063,True,off,,0,skipped:len|budget,0,23.91982078552246,beir_fiqa_full_ta,False,len|budget,False,False,False,0.054736729999999956,0.32142857142857145,0
1760241535219,2025-10-11T20:58:55.219445,0.0040531158447265625,on,0.85,balanced,0,0,1,383.9402198791504,0.0040531158447265625,0,134,0.004019999999999999,True,on,,0,disabled,0,0,,False,,True,False,False,0.0,0.0,0
1760241535245,2025-10-11T20:58:55.245133,20.628929138183594,off,0.8688229158791849,,0,50,0,0,20.628929138183594,1,255,0.007659999999999999,True,off,,0,skipped:len|dispersion|budget,0,19.898176193237305,beir_fiqa_full_ta,False,len|dispersion|budget,False,False,False,0.08516249000000004,0.3103448275862069,0
1760241535720,2025-10-11T20:58:55.720574,0.006198883056640625,on,0.85,balanced,0,0,1,86.2581729888916,0.006198883056640625,3,270,0.008129999999999998,True,on,,0,disabled,0,0,,False,,True,False,False,0.0,0.0,0
1760241536125,2025-10-11T20:58:56.125460,397.7510929107666,off,0.9260786530786429,,1,50,0,0,397.7510929107666,3,163,0.00492,True,off,,320.85704803466797,cross-encoder/ms-marco-MiniLM-L-6-v2,1,75.77180862426758,beir_fiqa_full_ta,True,len|dispersion,True,False,False,0.10634141000000003,0.3,1
1760241536219,2025-10-11T20:58:56.219404,0.003814697265625,on,0.85,balanced,0,0,1,59.34906005859375,0.003814697265625,3,264,0.00795,True,on,,0,disabled,0,0,,False,,True,False,False,0.0,0.0,0
1760241536247,2025-10-11T20:58:56.247855,23.628711700439453,off,0.806361609119891,,0,50,0,0,23.628711700439453,3,266,0.00801,True,off,,0,skipped:len|dispersion|budget,0,22.79520034790039,beir_fiqa_full_ta,False,len|dispersion|budget,False,False,False,0.14546012000000003,0.3225806451612903,0
1760241552650,2025-10-11T20:59:12.650745,0.0030994415283203125,on,0.85,balanced,0,0,1,45.25184631347656,0.0030994415283203125,2,270,0.008119999999999999,True,on,,0,disabled,0,0,,False,,True,False,False,0.0,0.0,0
1760241552711,2025-10-11T20:59:12.711562,57.01708793640137,off,0.8654240894988926,,0,50,0,0,57.01708793640137,3,248,0.00747,True,off,,0,skipped:len|budget,0,56.36310577392578,beir_fiqa_full_ta,False,len|budget,False,False,False,0.060916059999999994,0.3125,0
1760241553150,2025-10-11T20:59:13.150434,0.0040531158447265625,on,0.85,balanced,0,0,1,377.19011306762695,0.0040531158447265625,2,130,0.00392,True,on,,0,disabled,0,0,,False,,True,False,False,0.0,0.0,0
1760241553188,2025-10-11T20:59:13.188317,31.968116760253906,off,0.8055620588270918,,0,50,0,0,31.968116760253906,3,225,0.0067800000000000004,True,off,,0,skipped:len|budget,0,30.241012573242188,beir_fiqa_full_ta,False,len|budget,False,False,False,0.04709429000000004,0.30303030303030304,0
1760241553651,2025-10-11T20:59:13.651171,0.0040531158447265625,on,0.85,balanced,0,0,1,86.2581729888916,0.0040531158447265625,3,270,0.008129999999999998,True,on,,0,disabled,0,0,,False,,True,False,False,0.0,0.0,0
1760241553998,2025-10-11T20:59:13.998586,342.0548439025879,off,0.8670237453355334,,1,50,0,0,342.0548439025879,3,163,0.00492,True,off,,311.9077682495117,cross-encoder/ms-marco-MiniLM-L-6-v2,1,28.493165969848633,beir_fiqa_full_ta,True,len|dispersion,True,False,False,0.11822439999999998,0.29411764705882354,1
1760241554149,2025-10-11T20:59:14.149184,0.003814697265625,on,0.85,balanced,0,0,1,341.13097190856934,0.003814697265625,0,158,0.00474,True,on,,0,disabled,0,0,,False,,True,False,False,0.0,0.0,0
1760241554177,2025-10-11T20:59:14.177115,23.9260196685791,off,0.8128279438181802,,0,50,0,0,23.9260196685791,1,263,0.007899999999999999,True,off,,0,skipped:len|kw|budget,0,23.183107376098633,beir_fiqa_full_ta,False,len|kw|budget,False,False,False,0.06569027999999999,0.3142857142857143,0
1760241554651,2025-10-11T20:59:14.651720,0.00476837158203125,on,0.85,balanced,0,0,1,47.67894744873047,0.00476837158203125,0,271,0.008129999999999998,True,on,,0,disabled,0,0,,False,,True,False,False,0.0,0.0,0
1760241554687,2025-10-11T20:59:14.687254,28.779983520507812,off,0.7953023428452508,,0,50,0,0,28.779983520507812,1,312,0.00937,True,off,,0,skipped:len|budget,0,27.454137802124023,beir_fiqa_full_ta,False,len|budget,False,False,False,0.061011029999999966,0.3055555555555556,0
1760241555151,2025-10-11T20:59:15.151157,0.0040531158447265625,on,0.85,balanced,0,0,1,352.25892066955566,0.0040531158447265625,1,143,0.0043,True,on,,0,disabled,0,0,,False,,True,False,False,0.0,0.0,0
1760241555552,2025-10-11T20:59:15.552829,396.6400623321533,off,0.8709965085289184,,1,50,0,0,396.6400623321533,2,138,0.00416,True,off,,363.908052444458,cross-encoder/ms-marco-MiniLM-L-6-v2,1,31.309127807617188,beir_fiqa_full_ta,True,len|dispersion,True,False,False,0.13547603000000003,0.2972972972972973,1
1760241555650,2025-10-11T20:59:15.650107,0.0030994415283203125,on,0.85,balanced,0,0,1,59.34906005859375,0.0030994415283203125,3,264,0.00795,True,on,,0,disabled,0,0,,False,,True,False,False,0.0,0.0,0
1760241555680,2025-10-11T20:59:15.680521,25.499820709228516,off,0.8507803518089727,,0,50,0,0,25.499820709228516,3,266,0.00801,True,off,,0,skipped:len|dispersion|budget,0,24.75285530090332,beir_fiqa_full_ta,False,len|dispersion|budget,False,False,False,0.12937870000000007,0.3157894736842105,0
1760241556148,2025-10-11T20:59:16.148709,0.0030994415283203125,on,0.85,balanced,0,0,1,47.67894744873047,0.0030994415283203125,0,271,0.008129999999999998,True,on,,0,disabled,0,0,,False,,True,False,False,0.0,0.0,0
1760241556176,2025-10-11T20:59:16.176845,23.945331573486328,off,0.8679175248089329,,0,50,0,0,23.945331573486328,1,312,0.00937,True,off,,0,skipped:len|budget,0,23.167848587036133,beir_fiqa_full_ta,False,len|budget,False,False,False,0.04782940000000002,0.3076923076923077,0
