timestamp,p95_ms,recall_at10,tokens_in,tokens_out,est_cost,success
2025-10-08T21:32:34.855953,148.51713180541992,0.85,1,18,0.00055,True
2025-10-08T21:34:39.517718,91.22180938720703,0.85,0,9,0.00027,True
2025-10-08T21:34:39.653267,122.38407135009766,0.85,0,9,0.00027,True
2025-10-08T21:34:39.801263,130.90181350708008,0.85,0,9,0.00027,True
2025-10-08T21:34:41.194572,119.32492256164551,0.85,2,22,0.0006799999999999999,True
2025-10-08T21:34:41.290730,88.81497383117676,0.85,2,22,0.0006799999999999999,True
2025-10-08T21:34:41.415708,110.92710494995117,0.85,2,22,0.0006799999999999999,True
2025-10-08T21:34:42.576239,144.90294456481934,0.85,1,18,0.00055,True
2025-10-08T21:34:42.718315,135.8809471130371,0.85,1,18,0.00055,True
2025-10-08T21:34:42.843652,119.7357177734375,0.85,1,18,0.00055,True
2025-10-08T21:34:43.984256,128.39865684509277,0.85,1,18,0.00055,True
2025-10-08T21:34:44.091020,99.52616691589355,0.85,1,18,0.00055,True
2025-10-08T21:34:44.176624,78.40895652770996,0.85,1,18,0.00055,True
2025-10-08T21:34:45.274326,88.0887508392334,0.85,2,22,0.0006799999999999999,True
2025-10-08T21:34:45.427976,146.5921401977539,0.85,2,22,0.0006799999999999999,True
2025-10-08T21:34:45.533241,86.54904365539551,0.85,2,22,0.0006799999999999999,True
2025-10-08T21:34:46.691822,143.02706718444824,0.85,1,18,0.00055,True
2025-10-08T21:34:46.779681,80.58404922485352,0.85,1,18,0.00055,True
2025-10-08T21:34:46.852866,67.46292114257812,0.85,1,18,0.00055,True
2025-10-08T21:34:47.954334,79.70094680786133,0.85,1,18,0.00055,True
2025-10-08T21:34:48.029904,67.68989562988281,0.85,1,18,0.00055,True
2025-10-08T21:34:48.126961,90.16203880310059,0.85,1,18,0.00055,True
2025-10-08T21:34:49.198536,62.15810775756836,0.85,2,22,0.0006799999999999999,True
2025-10-08T21:34:49.269191,64.41283226013184,0.85,2,22,0.0006799999999999999,True
2025-10-08T21:34:49.351555,75.90818405151367,0.85,2,22,0.0006799999999999999,True
2025-10-08T21:34:50.426849,65.39225578308105,0.85,1,18,0.00055,True
2025-10-08T21:34:50.579871,147.13382720947266,0.85,1,18,0.00055,True
2025-10-08T21:34:50.728546,142.62104034423828,0.85,1,18,0.00055,True
2025-10-08T21:34:51.791862,53.73787879943848,0.85,1,18,0.00055,True
2025-10-08T21:34:51.907711,109.21096801757812,0.85,1,18,0.00055,True
2025-10-08T21:34:52.036188,122.96390533447266,0.85,1,18,0.00055,True
2025-10-08T21:34:53.101482,52.79898643493652,0.85,2,22,0.0006799999999999999,True
